words,count_2005,count_2006,count_2007,count_2008,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
shared,2.0,1.0,,1.0,,1.0,,1.0,,2.0,1.0,
population,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
rule,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,
cyclic,2.0,,,,,,1.0,,,,2.0,
extracting,2.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,,
effects,2.0,3.0,,3.0,1.0,2.0,,,,,1.0,1.0
vision,2.0,,,,,,,,1.0,1.0,,
attention,2.0,1.0,1.0,1.0,,,,,,3.0,1.0,4.0
scenes,2.0,,,1.0,2.0,1.0,1.0,,,1.0,,2.0
space,2.0,3.0,,1.0,1.0,2.0,,5.0,3.0,2.0,1.0,4.0
rational,2.0,,,3.0,,1.0,1.0,1.0,,1.0,,1.0
approximate,2.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,8.0,2.0,2.0,4.0
analyzing,2.0,,,2.0,1.0,,,1.0,2.0,,,
machine,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,5.0
how,2.0,,1.0,2.0,1.0,,2.0,2.0,3.0,2.0,,2.0
labeling,2.0,,,1.0,1.0,1.0,3.0,2.0,,2.0,1.0,
optimal,2.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,8.0,13.0,21.0
metric,2.0,1.0,,1.0,4.0,3.0,3.0,7.0,1.0,4.0,2.0,5.0
imitation,2.0,2.0,,,,,,1.0,,,,1.0
cue,2.0,,1.0,,,,,,,,,
estimating,2.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,3.0,,2.0,4.0
power-law,2.0,,,,2.0,,,,,1.0,,
plasticity,2.0,,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0
interpretation,2.0,,,,,1.0,,,1.0,,,
dependent,2.0,1.0,,2.0,,1.0,2.0,3.0,1.0,3.0,1.0,
nearest,2.0,,1.0,,2.0,1.0,2.0,1.0,,2.0,,3.0
computing,2.0,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0
neighbor,2.0,,1.0,,3.0,1.0,3.0,2.0,1.0,1.0,,3.0
neuromorphic,2.0,,,,,,,,,,1.0,
coupling,2.0,,,,,,,1.0,,,,
sets,2.0,2.0,,,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0
changing,2.0,,1.0,1.0,,,,,,,,
distance,2.0,1.0,,,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0
state,2.0,,3.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0
margin,2.0,4.0,2.0,3.0,,4.0,3.0,2.0,2.0,1.0,,1.0
scaling,2.0,,,,,,,1.0,,1.0,,2.0
weighted,2.0,,1.0,2.0,,1.0,1.0,4.0,,4.0,1.0,2.0
signals,2.0,,,1.0,2.0,2.0,3.0,1.0,,2.0,,
topic,2.0,1.0,2.0,2.0,3.0,,4.0,4.0,4.0,1.0,1.0,3.0
local,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,7.0,6.0,8.0,10.0
complexity,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,,7.0,8.0
algorithm,2.0,4.0,4.0,6.0,4.0,4.0,7.0,10.0,3.0,9.0,5.0,10.0
sample,2.0,2.0,,2.0,,3.0,2.0,2.0,2.0,2.0,8.0,3.0
identifying,2.0,,,,,4.0,2.0,,1.0,2.0,,2.0
decomposition,2.0,1.0,1.0,,,,3.0,2.0,3.0,5.0,4.0,5.0
linear,2.0,5.0,4.0,7.0,3.0,7.0,8.0,8.0,6.0,10.0,15.0,16.0
em,2.0,1.0,,,,,1.0,1.0,,1.0,2.0,
size,2.0,,,,1.0,2.0,,,,,1.0,2.0
timing,2.0,,1.0,,,,,,,,,
applied,2.0,,,,,1.0,1.0,,,,,
during,2.0,,,2.0,,1.0,,,,,1.0,
movements,2.0,,2.0,,,1.0,,,,,,
eye,2.0,,,,,,,,1.0,,,
3d,2.0,1.0,,1.0,1.0,,2.0,7.0,1.0,1.0,2.0,7.0
gradient,2.0,2.0,3.0,3.0,2.0,6.0,5.0,3.0,6.0,7.0,11.0,19.0
games,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0
distributed,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,9.0,16.0,5.0,7.0
structured,2.0,2.0,2.0,3.0,1.0,9.0,6.0,5.0,8.0,10.0,10.0,16.0
related,2.0,,,1.0,,,1.0,,,,,
batch,2.0,,1.0,1.0,,1.0,,,,,1.0,1.0
non-gaussian,2.0,,,,,,,,,,,
beyond,2.0,,,1.0,2.0,1.0,1.0,,1.0,2.0,3.0,3.0
parameter,2.0,1.0,,,1.0,,,2.0,1.0,4.0,1.0,2.0
divergences,2.0,,,,,1.0,,1.0,,,2.0,1.0
single,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,,1.0,2.0,3.0
dynamics,2.0,6.0,,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,8.0
convex,2.0,2.0,6.0,8.0,3.0,3.0,3.0,6.0,8.0,13.0,7.0,10.0
sources,1.0,2.0,,1.0,1.0,,,,,,,
distinguishing,1.0,,,,,1.0,,,,,,
inputs,1.0,,,,1.0,,,,1.0,,,1.0
soft,1.0,,1.0,,,,,,,,,
augmented,1.0,,1.0,,,,,,,,2.0,2.0
rescorla-wagner,1.0,,,,,,,,,,,
reconstruction,1.0,,,,2.0,,2.0,1.0,1.0,1.0,,2.0
dimensionality,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,,2.0,1.0,2.0
passing,1.0,,3.0,,,,2.0,1.0,3.0,3.0,1.0,
likelihood,1.0,,1.0,,3.0,3.0,2.0,2.0,,,2.0,2.0
message,1.0,,3.0,,,,2.0,1.0,3.0,3.0,1.0,
finding,1.0,,1.0,1.0,,,,2.0,,2.0,,2.0
role,1.0,,,,,,,,,,,
brain,1.0,,1.0,3.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0
interaction,1.0,,1.0,,,,1.0,,1.0,,,4.0
quantization,1.0,,,,,,,,1.0,,,
winner-take-all,1.0,,,,,,,,1.0,,1.0,
preconditioner,1.0,,,,,,,,,,,
coupled,1.0,,,,,,1.0,,3.0,,,1.0
spurious,1.0,,,,,,,,,,,1.0
true,1.0,,,,,,,,,,,
high-rate,1.0,,,,,,,,,,,
redistribution,1.0,,,,,,,,,,,
prior,1.0,1.0,1.0,,2.0,3.0,1.0,7.0,1.0,2.0,,1.0
tonic,1.0,,,,,,,,,,,
laws,1.0,,,,1.0,,,,,,,
frequency,1.0,,,,,,1.0,,1.0,1.0,,1.0
triplet,1.0,,,,,,,,,,,
phenomenological,1.0,,,,,,,,,,,
natural,1.0,2.0,6.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0
task,1.0,,,,,,,2.0,2.0,2.0,,
embedded,1.0,,1.0,,,,,1.0,,,,
stdp,1.0,,,,1.0,,,,,,,
pair-based,1.0,,,,,,,,,,,
mri,1.0,,,,,,,2.0,,1.0,,1.0
edema,1.0,,,,,,,,,,,
intrinsic,1.0,,,,,,3.0,,1.0,,,3.0
area,1.0,,2.0,,,,,,1.0,,,
delineation,1.0,,,,,,,,,,,
fiber,1.0,,,,,,,,,,,
off-policy,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0
options,1.0,,,,,,,,,,,
recognizers,1.0,,,,,,,,,,,
behavior,1.0,,,2.0,2.0,,,1.0,,,1.0,3.0
bayes-optimal,1.0,,,,,,,,,,,
probabilities,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0
gibbs,1.0,1.0,,,,,,3.0,3.0,,2.0,1.0
bottom-up,1.0,1.0,1.0,,,,,,,,,
regulatory,1.0,,,,,,,,,,,
motivation,1.0,,,,,,,,,,,2.0
codes,1.0,,,,3.0,1.0,,3.0,1.0,2.0,1.0,3.0
evoked,1.0,,,,,,,,,,,
stimulus,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0
operators,1.0,,,,1.0,,1.0,,2.0,1.0,,
fokker-planck,1.0,,,,,,,,,,,
potts,1.0,,,,,,,,,,,
sampling,1.0,3.0,3.0,3.0,2.0,5.0,6.0,5.0,13.0,11.0,8.0,11.0
nested,1.0,1.0,,1.0,1.0,,,,,,,1.0
receivers,1.0,,,,,,,,,,,
cdma,1.0,,,,,,,,,,,
multiuser,1.0,,,,,,,,,,,
system-level,1.0,,,,,,,,,,,
harmonic,1.0,,,,,,,,1.0,,,
sensor,1.0,,,,,,,,1.0,,,1.0
distortion,1.0,,,,1.0,,,,,,,
vigor,1.0,,,,,,,,,,,
account,1.0,,,,,1.0,,,,,,
domain,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,3.0,2.0,,6.0
greedy,1.0,1.0,,1.0,1.0,,4.0,,,2.0,1.0,4.0
exact,1.0,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0
compositional,1.0,1.0,,,,,,,1.0,,,
system,1.0,3.0,,,,1.0,,2.0,,1.0,2.0,2.0
filtering,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0
rapid,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0
equilibria,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0
context,1.0,2.0,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0
consensus,1.0,,,,1.0,,,1.0,,,1.0,
environments,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,2.0
eigenspaces,1.0,,,,,,,,,,,
factor,1.0,,,4.0,6.0,1.0,,2.0,,3.0,3.0,1.0
music,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0
meg,1.0,1.0,,1.0,,,,,,1.0,,
class,1.0,1.0,1.0,,1.0,1.0,,,1.0,,3.0,2.0
work,1.0,,,,1.0,,,,,,,
guiding,1.0,,,,,,,,,,,
experimental,1.0,,,1.0,,,,,1.0,1.0,,
loss,1.0,1.0,,3.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0
surrogate,1.0,,,,,,,1.0,,,,1.0
statistic,1.0,,,,,,,,1.0,,,
scan,1.0,,1.0,,,,,,1.0,,,1.0
its,1.0,,4.0,1.0,1.0,,1.0,,2.0,,1.0,1.0
figure/ground,1.0,,,,,,,,,,,
strategy,1.0,,,,1.0,,1.0,,,1.0,,
influence,1.0,,,1.0,,,,1.0,1.0,1.0,2.0,3.0
among,1.0,,,,2.0,,1.0,,,,,
interacting,1.0,,,,,,,,,1.0,,
q-clustering,1.0,,,,,,,,,,,
architecture,1.0,,,,,,1.0,1.0,1.0,,1.0,2.0
only-nearest-neighbor-interconnects,1.0,,,,,,,,,,,
access,1.0,,,,,,,,1.0,,,
line,1.0,,,,,,,,,,1.0,1.0
chains,1.0,,,,1.0,,,2.0,,,1.0,3.0
employing,1.0,1.0,,,,,,,,,,
processor,1.0,,,1.0,,,,,,,,
pre-processing,1.0,,,,,,,,,,,
tasks,1.0,1.0,,,,4.0,2.0,2.0,1.0,1.0,2.0,
interactivity,1.0,,,,,,,,,,,
analog,1.0,,2.0,,,,,1.0,,1.0,,
background,1.0,,,,,,,,1.0,,,
computational,1.0,,1.0,3.0,,1.0,,,,1.0,1.0,1.0
integration,1.0,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0
comparing,1.0,,1.0,,,,,,,,,
weight,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0
auditory,1.0,,,,,,,1.0,,1.0,,
map,1.0,,2.0,1.0,6.0,2.0,2.0,5.0,1.0,8.0,6.0,2.0
cones,1.0,,,,,,,,,,,
growth,1.0,,,,,,,,,,,
projections,1.0,1.0,3.0,1.0,,2.0,,1.0,2.0,,,3.0
mining,1.0,,1.0,,,,,,,,,
tree,1.0,1.0,,1.0,2.0,2.0,6.0,2.0,3.0,3.0,1.0,3.0
group,1.0,,,,1.0,6.0,3.0,1.0,1.0,1.0,2.0,
sequence,1.0,,,2.0,2.0,1.0,4.0,,,4.0,4.0,1.0
temporal-difference,1.0,,,1.0,1.0,,,,,,,
under,1.0,2.0,3.0,3.0,1.0,2.0,2.0,,4.0,9.0,7.0,8.0
relations,1.0,,1.0,,,1.0,,,,2.0,,1.0
misspecified,1.0,1.0,,,,,,,,,,2.0
their,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
attributes,1.0,,1.0,,,,,,2.0,2.0,,
dirichlet,1.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0
transformed,1.0,,,,,1.0,,,,,,
describing,1.0,,,,,,1.0,,,,,
bayes,1.0,,,2.0,2.0,,2.0,1.0,2.0,,1.0,2.0
within,1.0,1.0,,,,,,,,1.0,,
matrices,1.0,,,2.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0
sensory,1.0,,,2.0,,,,2.0,,2.0,,
change,1.0,,1.0,,,,,1.0,1.0,,,
stochastic,1.0,4.0,4.0,4.0,6.0,4.0,9.0,7.0,17.0,15.0,21.0,38.0
general,1.0,3.0,2.0,2.0,2.0,1.0,,2.0,1.0,3.0,4.0,6.0
interface,1.0,,,,,,1.0,,,,,
imagery,1.0,,,1.0,,,,,,,,
synchrony,1.0,,1.0,,,,,,,,,
phase,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,1.0
pseudo-inputs,1.0,,,,,,,,,,,
retina,1.0,,,,,,,,,,,
few,1.0,,,,,,,,,,,
temporally,1.0,,,,,,,1.0,,,,
td(0),1.0,,,,,,,,,,,
regions,1.0,,,,2.0,,1.0,2.0,1.0,1.0,,2.0
goal-based,1.0,,,,,,,,,,,
ear,1.0,,,,,,,,,,,
cricket,1.0,,,,,,,,,,,
one-class,1.0,,,,,,,,,,,
avlsi,1.0,,,,,,,,,,,
iteration,1.0,,,1.0,,1.0,3.0,1.0,4.0,1.0,3.0,2.0
svm,1.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0
policies,1.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0
better,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,
instance,1.0,1.0,,,,1.0,2.0,,,,,
leads,1.0,,,,,,,,,,,
interdependent,1.0,,,,,,,,,1.0,,
jointly,1.0,,,,1.0,,,,,,,
trained,1.0,,,,,1.0,,1.0,,,,
wrong,1.0,,,,,,,,,,,
classifiers,1.0,,1.0,3.0,1.0,2.0,1.0,,,2.0,2.0,1.0
benefits,1.0,,,,,,,,,1.0,,
m1,1.0,,,,,,,,,,,
emg,1.0,,,,,,,,,,,
predicting,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0
computation-limited,1.0,,,,,,,,,,,
sound,1.0,1.0,1.0,,,,,1.0,,,,2.0
setting,1.0,,,,,,,,5.0,,,
recovery,1.0,,,3.0,3.0,1.0,3.0,5.0,3.0,2.0,2.0,11.0
affine,1.0,,,,,,,1.0,,,,
extragradient,1.0,,,,,,,,,,,
tracking,1.0,,1.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,,1.0
conditional,1.0,5.0,1.0,3.0,4.0,,1.0,2.0,3.0,3.0,1.0,7.0
unseen,1.0,,,,,,,,1.0,,,
points,1.0,,1.0,,,1.0,1.0,1.0,,,,
kalman,1.0,,,,1.0,,,,,,,
smd,1.0,,,,,,,,,,,
frugal,1.0,,,,,,,,,,,
condition,1.0,,,,,,,1.0,2.0,,,
far,1.0,,,1.0,,,,,1.0,,,
rationality,1.0,1.0,,,,,,1.0,,,,
bounded,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,
monitoring,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0
neonatal,1.0,,,,,,,,,,,
intensive,1.0,,,,,,,,,1.0,,
accuracy,1.0,2.0,1.0,,,,1.0,2.0,,,1.0,1.0
