,author,cite_num,paper_num
101,Greg Hullender,1507,1
102,Nicole Hamilton,1507,1
103,Chris Burges,1507,1
104,Tal Shaked,1507,1
105,Matt Deeds,1507,1
106,Erin Renshaw,1507,1
107,Fei Sha,1499,20
108,Alexandru Niculescu-Mizil,1481,4
109,Fernando Pereira,1475,8
110,Pierre-Antoine Manzagol,1466,1
111,Amir Globerson,1464,18
112,Yangqing Jia,1463,5
113,Kunle Olukotun,1460,8
114,Vikas Sindhwani,1439,17
115,Jiayuan Huang,1434,3
116,Roger Grosse,1433,4
117,Massimiliano Pontil,1431,13
118,Ashutosh Saxena,1421,10
119,Tie-Yan Liu,1404,5
120,Masashi Sugiyama,1404,34
121,Xiaofei He,1401,7
122,Leon Bottou,1391,5
123,Ohad Shamir,1377,31
124,Deng Cai,1374,4
125,Ryan P. Adams,1368,18
126,Jason V. Davis,1362,2
127,Sergey Ioffe,1356,1
128,Jeff Donahue,1345,2
129,Judy Hoffman,1345,2
130,Ning Zhang,1331,2
131,Ambuj Tewari,1328,27
132,Sham Kakade,1323,7
133,Sam T. Roweis,1303,5
134,Ryan Kiros,1301,8
135,Gary Bradski,1293,3
136,Alina Beygelzimer,1289,9
137,Shih-Fu Chang,1289,9
138,Kilian Weinberger,1283,13
139,Wei Xu,1277,4
140,Olivier Chapelle,1271,13
141,Karol Gregor,1269,11
142,Sujay Sanghavi,1266,17
143,Chong Wang,1257,10
144,Eric Tzeng,1257,1
145,Michael Jordan,1255,15
146,Shie Mannor,1253,42
147,Sahand Negahban,1250,7
148,Sanjoy Dasgupta,1249,17
149,Benjamin Packer,1246,3
150,Christopher D. Manning,1228,8
151,Edo M. Airoldi,1224,4
152,Alex Smola,1221,13
153,Jun Wang,1216,11
154,Yi-an Lin,1216,1
155,Yuanyuan Yu,1216,1
156,Sang K. Kim,1216,1
157,Cheng-tao Chu,1216,1
158,Nati Srebro,1209,18
159,Shuiwang Ji,1201,6
160,Iain Murray,1192,13
161,Tao Qin,1190,7
162,Kyunghyun Cho,1186,8
163,Sanjiv Kumar,1178,13
164,Raquel Urtasun,1175,23
165,Ross Girshick,1174,6
166,Sham M. Kakade,1174,18
167,Kenji Fukumizu,1167,20
168,Volker Tresp,1159,9
169,Raymond J. Mooney,1150,5
170,Pedro Domingos,1148,12
171,Stephen E. Fienberg,1147,1
172,Liefeng Bo,1145,7
173,Han Liu,1132,34
174,Remi Munos,1125,37
175,Zhouchen Lin,1121,5
176,Andreas Argyriou,1121,6
177,Antoine Bordes,1121,5
178,Yee W. Teh,1113,19
179,Wenyuan Dai,1112,4
180,Tobias Scheffer,1112,18
181,James Martens,1111,8
182,Daan Wierstra,1106,11
183,Samy Bengio,1100,14
184,Jun Zhu,1098,34
185,Martin Zinkevich,1088,8
186,Karthik Sridharan,1087,16
187,Dieter Fox,1086,4
188,Alekh Agarwal,1086,20
189,Jure Leskovec,1074,7
190,Huan Xu,1071,30
191,Stephen Wright,1068,4
192,Ian Goodfellow,1065,6
193,Ali Rahimi,1061,5
194,Christopher Re,1057,13
195,Chih-Jen Lin,1054,3
196,John C. Duchi,1044,12
197,Karen Simonyan,1043,4
198,Hanna M. Wallach,1023,3
199,Daniel J. Hsu,1022,17
200,Bernhard Schalkopf,1020,13
201,Larry Wasserman,1008,17
202,Jian Sun,1008,3
203,Kaiming He,1006,2
204,John Wright,1003,6
205,Cho-Jui Hsieh,1001,17
206,Michael Bowling,998,19
207,Xavier Glorot,995,3
208,Ming-Feng Tsai,993,1
209,Zhe Cao,993,1
210,Jasper Snoek,992,6
211,Ben Taskar,985,14
212,Sean Gerrish,980,4
213,Yee Whye Teh,972,13
214,Shipeng Yu,968,10
215,Shaoqing Ren,964,1
216,Hongyuan Zha,961,12
217,Jordan L. Boyd-graber,957,2
218,Rich Zemel,947,6
219,Sewoong Oh,946,17
220,Neil Bruce,943,2
221,John Tsotsos,942,1
222,Gui-Rong Xue,941,4
223,Kristen Grauman,940,12
224,Zhi-Hua Zhou,939,13
225,Matthias Hein,937,19
226,Jimmy Ba,930,5
227,Neil D. Lawrence,928,11
228,Corinna Cortes,925,16
229,Ruslan Salakhudinov,924,4
230,Li Fei-fei,923,5
231,Klaus-Robert Muller,918,20
232,James T. Kwok,916,12
233,Simon Lacoste-Julien,915,12
234,Guillaume Obozinski,907,3
235,John Duchi,906,7
236,Thore Graepel,903,6
237,Koray Kavukcuoglu,899,8
238,Abhishek Kumar,889,7
239,Nitish Srivastava,889,4
240,S. Sathiya Keerthi,877,3
241,Matthew Hoffman,871,6
242,Shakir Mohamed,869,10
243,Kamalika Chaudhuri,861,15
244,Yi Ma,859,3
245,Wei Liu,854,5
246,Tony Jebara,852,18
247,Mohammad Ghavamzadeh,846,22
248,Ivor W. Tsang,846,8
249,Paul Tucker,845,1
250,Ke Yang,845,1
251,Andrew Senior,845,1
252,Mark Mao,845,1
253,Laurent Jacob,842,3
254,Bin Yu,842,8
255,Erik B. Sudderth,838,13
256,Nicolas L. Roux,832,7
257,Aude Oliva,831,4
258,David Mimno,831,6
259,Robert E. Schapire,830,14
260,Shankar Rao,828,1
261,Yigang Peng,828,1
262,Arvind Ganesh,828,1
263,Theodoros Evgeniou,822,2
264,Jianxiong Xiao,818,3
265,Vladlen Koltun,813,6
266,Y-lan Boureau,807,2
267,Hal Daume III,797,12
268,Ralf Herbrich,796,5
269,Alex Kulesza,794,8
270,Jonathan Chang,791,3
271,Olivier Bousquet,791,1
272,Wei Chu,791,7
273,Xiaojin Zhu,788,16
274,Li-jia Li,788,2
275,Yihong Gong,788,6
276,Mikhail Belkin,786,14
277,Edward Snelson,780,3
278,Mehdi Mirza,774,3
279,Matthias Seeger,773,10
280,Ping Li,771,24
281,Dale Schuurmans,762,25
282,Feiping Nie,760,9
283,Christopher J. Burges,756,2
284,Hao Su,751,3
285,Dumitru Erhan,751,3
286,Ming Yang,747,1
287,Aditya Khosla,746,3
288,Dengyong Zhou,736,7
289,John C. Platt,731,3
290,Heng Huang,730,9
291,Emily Fox,728,12
292,Volodymyr Mnih,725,8
293,Deva Ramanan,724,6
294,Motoaki Kawanabe,724,7
295,Steffen Bickel,721,6
296,Mark Dredze,719,4
297,Markus Weimer,714,2
298,Chaitanya Ekanadham,713,3
299,Constantine Caramanis,707,13
300,Jason D. M. Rennie,707,1
301,Soumya Ray,707,9
302,Changshui Zhang,707,3
303,Nicolas Usunier,705,11
304,Paul A. Viola,704,2
305,Cha Zhang,704,2
306,Padhraic Smyth,704,11
307,Joshua B. Tenenbaum,702,14
308,Guangcan Liu,701,3
309,koray kavukcuoglu,700,8
310,Ling Huang,699,6
311,Bolei Zhou,697,1
312,Agata Lapedriza,697,1
313,Denny Zhou,696,4
314,David Newman,696,3
315,Graham W. Taylor,696,4
316,Afshin Rostamizadeh,693,9
317,Christopher Poultney,689,1
318,Sumit Chopra,689,1
319,Tushar Chandra,687,1
320,Mark Schmidt,685,6
321,Tijmen Tieleman,685,2
322,Mark Craven,682,3
323,Hal Daume,677,10
324,Jason Yosinski,673,3
325,Nuno Vasconcelos,670,16
326,Wei Li,670,2
327,Michael R. Lyu,668,7
328,Jan R. Peters,668,11
329,Lin Xiao,666,8
330,Juhan Nam,665,1
331,Mingyu Kim,665,1
332,Robert Nowak,664,12
333,Jean-Philippe Vert,664,4
334,Kelvin Xu,663,1
335,Doina Precup,660,21
336,Shai Ben-David,657,7
337,Chris H. Ding,654,5
338,Kai-Wei Chang,651,5
339,Manik Varma,650,5
340,Hisashi Kashima,646,7
341,Alessandro Lazaric,642,18
342,Xiaogang Wang,638,5
343,Elad Hazan,638,30
344,Fei Wang,636,2
345,Nicol N. Schraudolph,635,5
346,James Kwok,635,10
347,Richard S. Sutton,634,12
348,Tamir Hazan,634,15
349,Feng Niu,632,1
350,Shinichi Nakajima,631,11
351,Bill Triggs,627,3
352,Manuel Gomez Rodriguez,625,7
353,Zaid Harchaoui,624,10
354,Dilip Krishnan,621,3
355,Marina Meila,619,7
356,Danilo Jimenez Rezende,619,6
357,Maneesh Sahani,617,17
358,Andrea Frome,616,2
359,Faustino Gomez,615,6
360,James Bergstra,609,3
361,Stanley Kok,609,4
362,Inderjit Dhillon,607,19
363,Julian J. Mcauley,606,3
364,Alan S. Willsky,605,10
365,Sathiya Keerthi,604,3
366,Tom Minka,601,6
367,Aaron Hertzmann,600,4
368,S. Sundararajan,598,1
369,John Lafferty,597,12
370,Andrea Montanari,597,13
371,Rodolphe Jenatton,595,5
372,Boaz Nadler,593,6
373,Yves Grandvalet,591,9
374,Dit-Yan Yeung,588,13
375,Ryota Tomioka,587,12
376,S.v.n. Vishwanathan,587,9
377,Sergey Levine,584,14
378,Ryan Adams,582,16
379,Laurent Itti,581,4
380,Jean Pouget-Abadie,580,2
381,Xiao Cai,579,1
382,Cliff Chiung-Yu Lin,575,2
383,Pierre F. Baldi,574,5
384,Devavrat Shah,574,14
385,Bing Xu,574,1
386,David Warde-Farley,574,1
387,Marc Toussaint,574,12
388,Sherjil Ozair,574,1
389,Chun-Nam Yu,573,4
390,Edwin V. Bonilla,573,7
391,Tommi S. Jaakkola,570,8
392,Zenglin Xu,570,10
393,Peter Welinder,567,2
394,Chris Ding,565,4
395,Ben Recht,565,8
396,Balazs Kegl,565,7
397,Gang Li,563,1
398,Dong Yu,563,1
399,Frank Seide,563,1
400,Philipp Krahenbuhl,562,1
401,Xiaoou Tang,558,8
402,Javier R. Movellan,557,3
403,Paul L. Ruvolo,557,3
404,Sebastian Thrun,556,3
405,Chris Manning,554,1
406,Santiago Fernandez,554,2
407,Xavier Muller,553,2
408,Jacob Whitehill,552,1
409,Ting-fan Wu,552,1
410,Jacob Bergsma,552,1
411,Zhi-hua Zhou,551,4
412,Vassil Chatalbashev,550,2
413,Amnon Shashua,549,6
414,Thorsten Joachims ,547,1
415,Irwin King,545,10
416,Dominik Janzing,543,13
417,Alain Rakotomamonjy,543,8
418,Yan Largman,539,1
419,Peter Pham,539,1
420,Xiaofeng Ren,539,3
421,Nicolas Heess,539,9
422,Christopher Williams,539,4
423,Shalabh Bhatnagar,538,6
424,Alexander Rakhlin,537,11
425,Serge J. Belongie,536,3
426,Jeff Clune,534,2
427,Michael L. Littman,534,7
428,Peter L. Bartlett,534,15
429,Selin Aviyente,531,1
430,Ke Huang,531,1
431,Martin Jaggi,530,6
432,Zheng Zhao,528,3
433,Henry Kautz,528,3
434,Gunnar Ratsch,527,7
435,Mark Johnson,527,4
436,Minmin Chen,526,5
437,Purnamrita Sarkar,523,6
438,Svetlana Lazebnik,522,4
439,Zhenghao Chen,520,4
440,Eyke Hullermeier,519,10
441,Lin Liao,518,1
442,S.V.N. Vishwanathan,518,6
443,Wojciech Zaremba,518,6
444,Mohammad Norouzi,516,4
445,Richard Zemel,516,8
446,Hod Lipson,515,1
447,Michael Littman,515,8
448,Piyush Rai,511,9
449,Saren Sonnenburg,509,6
450,Bryan Catanzaro,508,3
451,Malte Rasch,508,1
452,Sylvain Gelly,507,1
453,Lorenzo Torresani,506,5
454,Navdeep Jaitly,503,5
455,Xi Chen,503,16
456,Kai Zhang,500,7
457,Weiwei Cheng,496,6
458,Claire Monteleoni,496,3
459,Ulf Brefeld,496,4
460,Maxim Raginsky,494,4
461,David Blei,493,18
462,Morgan Quigley,493,2
463,Bharath K. Sriperumbudur,492,8
464,Ivo Danihelka,492,7
465,Andrew W. Moore,492,7
466,Michael J. Black,491,11
467,Razvan C. Bunescu,490,2
468,David Sontag,487,12
469,Kevin P. Murphy,485,6
470,Jun Liu,483,10
471,Maria-Florina Balcan,482,2
472,Vikas C. Raykar,481,5
473,Victor Lempitsky,478,6
474,Remi Bardenet,477,5
475,Katherine A. Heller,475,9
476,Takeo Kanade,473,4
477,Jue Wang,472,4
478,Nando de Freitas,472,8
479,Yan Liu,471,13
480,Volkan Cevher,470,13
481,Paul V. Buenau,470,1
482,Kian M. Chai,470,3
483,arthur szlam,469,4
484,Charles Elkan,469,4
485,Huan Liu,468,2
486,Robert Ragno,467,1
487,Benjamin Schrauwen,464,7
488,Danilo Rezende,464,4
489,Prasad Tadepalli,462,11
490,Mingrui Wu,461,5
491,Andrew Saxe,458,3
492,David Fleet,458,2
493,Vittorio Ferrari,458,5
494,Benjamin Blankertz,457,5
495,Y-Lan Boureau,455,1
496,Arnaud Doucet,454,10
497,Ronald R. Coifman,454,2
498,Joel Veness,454,6
499,Jereme Louradour,453,1
500,Steve Branson,452,1
501,Thomas Finley,451,2
502,Stephen Gould,451,6
503,David M. Mimno,450,2
504,Mark Girolami,450,9
505,Frederic Jurie,450,1
506,Frank Moosmann,450,1
507,Alexander L. Strehl,448,5
508,Andrew Barto,448,6
509,Pushmeet Kohli,448,13
510,Mark Palatucci,447,3
511,Yu-Feng Li,447,4
512,Jennifer Wortman,446,5
513,Peter Auer,443,4
514,Claudio Gentile,442,13
515,Sugato Basu,442,1
516,Serge Belongie,441,5
517,Krishna V. Shenoy,440,7
518,Junzhou Huang,439,2
519,James Diebel,439,1
520,Aarti Singh,438,12
521,Phil Blunsom,438,5
522,Guillaume R. Obozinski,438,5
523,Dean P. Foster,437,8
524,Narayanan Sundaram,436,2
525,Salah RIFAI,436,1
526,Jeff A. Bilmes,435,15
527,Alan L. Yuille,434,16
528,Byron M. Yu,434,7
529,Sung H. Chung,432,1
530,Hanna Wallach,432,4
531,Alexander Zien,432,4
532,Yaakov Engel,431,4
533,Ali Jalali,430,6
534,Galen Andrew,430,2
535,Armand Joulin,429,6
536,Arthur U. Asuncion,428,4
537,Gavin Brown,427,2
538,Ruby Chiu-Hsing Weng,426,1
539,Nikos Vlassis,425,5
540,Ofer Dekel,425,13
541,Yisong Yue,424,8
542,Miguel a. Carreira-Perpinan,424,5
543,Nathan D. Ratliff,424,2
544,Eric Xing,423,11
545,J. Andrew Bagnell,423,3
546,Arindam Banerjee,422,18
547,Rie Johnson,422,3
548,George Konidaris,421,7
549,John P. Cunningham,420,10
550,Jianfeng Gao,417,2
551,Stephane Canu,417,3
552,Gert Lanckriet,417,6
553,Richard Baraniuk,416,6
554,Filip Radlinski,416,3
555,Sangkyun Lee,415,1
556,Fabian Sinz,410,3
557,Alan Fern,409,12
558,Sanja Fidler,409,5
559,Balaji Krishnapuram,409,5
560,Daniel Hsu,409,5
561,Krzysztof Dembczynski,409,7
562,Ming-Jie Zhao,408,1
563,Adam Pocock,408,1
564,Dimitris Metaxas,408,3
565,Mikel Lujan,408,1
566,David P. Wipf,407,8
567,Satyen Kale,407,13
568,Anirban Dasgupta,405,2
569,Sridhar Mahadevan,405,10
570,Bo Zhang,404,12
571,Andrea Vedaldi,403,7
572,Jeffrey Pennin,401,1
573,Eric H. Huang,401,1
574,Gert R. Lanckriet,397,5
575,Cristian Sminchisescu,396,6
576,Karen Livescu,396,3
577,Ronald Ortner,395,6
578,Stefanie Jegelka,394,17
579,Stephen Boyd,392,6
580,Barnabas Poczos,392,21
581,Sharon Goldwater,392,2
582,Jonas Peters,391,8
583,Christian Shelton,391,3
584,Raghunandan Keshavan,391,1
585,Anat Levin,390,1
586,Percy Liang,389,12
587,Jian Li,388,8
588,Zhixun Su,388,1
589,Risheng Liu,388,1
590,Aaron C. Courville,388,5
591,Frank Wood,387,14
592,Liqing Zhang,387,2
593,John Paisley,386,7
594,Nathaniel D. Daw,386,3
595,Josh Attenberg,386,1
596,Rong Ge,385,9
597,Chotirat Ann Ratanamahatana,383,1
598,Li Wei,383,1
599,Eric Moulines,383,5
600,Eamonn Keogh,383,1
601,Xiaopeng Xi,383,1
602,Peter Stone,382,9
603,Jon Shlens,381,1
604,Ameet Talwalkar,381,5
605,Jens Kober,380,2
606,Philip Torr,380,10
607,David B. Dunson,379,16
608,Joris M. Mooij,378,6
609,Min-ling Zhang,378,1
610,Eero P. Simoncelli,378,11
611,Yi Sun,378,5
612,Seyoung Kim,378,5
613,Niranjan Srinivas,378,1
614,Christoph Bregler,377,3
615,Nicolo Cesa-Bianchi,377,9
616,Tianbao Yang,377,16
617,Armando Fox,376,1
618,David Patterson,376,1
619,Yudong Chen,376,10
620,Choon H. Teo,375,3
621,Dan Klein,374,10
622,Ce Liu,374,4
623,Marco Cuturi,374,11
624,Martial Hebert,372,4
625,Jason D. Van Hulse,371,1
626,Amri Napolitano,371,1
627,Taghi M. Khoshgoftaar,371,1
628,Jitendra Malik,371,5
629,Fen Xia,371,2
630,Yuchen Zhang,370,8
631,Xiaodi Hou,370,1
632,Kurt Keutzer,368,1
633,Ding Zhou,368,2
634,Steven C. H. Hoi,367,3
635,Satinder Singh,366,10
636,Dan Roth,366,6
637,Jihun Hamm,366,3
638,Abhinav Gupta,365,4
639,Patrick Gallinari,365,6
640,Geoffrey J. Gordon,365,9
641,Piotr Dollar,364,5
642,Xuejun Liao,364,13
643,Cedric Archambeau,364,6
644,Lu Ren,363,4
645,Pavel Laskov,363,4
646,David Balduzzi,362,6
647,Emily L. Denton,361,2
648,Kevin Swersky,361,8
649,Fre_de_ric Ratle,360,1
650,Wolfgang Einhaeuser,359,1
651,Charles Blundell,359,7
652,John S. Shawe-taylor,359,5
653,James S. Bergstra,359,2
654,Moran Cerf,359,1
655,Shuicheng Yan,357,12
656,Ronald Parr,357,5
657,Peilin Zhao,356,8
658,Bobby Prochnow,356,1
659,Abhik Lahiri,356,1
660,Francesco Orabona,353,13
661,Eric  Xing,352,5
662,Ivor Tsang,350,5
663,Amr Ahmed,349,3
664,Surya Ganguli,348,9
665,Michael Mathieu,348,1
666,Pierre Sermanet,348,1
667,Katherine Heller,346,3
668,Michael Johanson,346,3
669,Wensheng Zhang,345,1
670,Shai Avidan,345,3
671,Jean-Yves Audibert,345,4
672,Andrew G. Barto,344,5
673,Vikas Raykar,344,2
674,Francois Laviolette,344,14
675,Mark W. Schmidt,344,1
676,Nan Du,342,9
677,Baback Moghaddam,342,3
678,Ajit Pauk Singh,341,1
679,Stefan Savage,340,1
680,Luca M. Gambardella,340,1
681,Justin Ma,340,1
682,Dan Ciresan,340,1
683,Yishay Mansour,340,7
684,Alessandro Giusti,340,1
685,Geoffrey M. Voelker,340,1
686,Jianke Zhu,339,4
687,Rakesh Babu,339,1
688,S. S. Keerthi,338,3
689,Mark Herbster,338,8
690,Yuheng Chen,337,1
691,Jean-philippe Vert,336,5
692,Qiang Liu,336,15
693,Yang Wang,335,9
694,Novi Quadrianto,333,11
695,Ron Meir,333,8
696,Moritz Hardt,332,7
697,Umar Syed,332,11
698,Yi Mao,331,3
699,James Bailey,331,2
700,Lester W. Mackey,330,3
701,Julien Epps,330,2
702,Jinbo Bi,329,5
703,Josh Tenenbaum,327,12
704,Danqi Chen,327,1
705,Daniel Lee,327,1
706,Hans-Peter Kriegel,326,3
707,Greg Mori,325,8
708,Jeff Bilmes,324,11
709,Tiberio S. Caetano,324,11
710,Zhengdong Lu,323,7
711,Razvan Pascanu,323,4
712,Martin Jaggi ,322,1
713,Romer Rosales,322,3
714,Rajesh P. Rao,322,8
715,Tom M. Mitchell,319,2
716,Stephane Lafon,319,1
717,Ioannis Kevrekidis,319,1
718,Marius Kloft,318,5
719,Roger P. Levy,317,2
720,Martin A. Zinkevich,317,2
721,Jack Wang,317,1
722,Hao Wang,316,5
723,Peter Dayan,316,14
724,William T. Freeman,316,3
725,Pascal Poupart,314,8
726,Rene Vidal,314,7
727,Emanuel Todorov,313,4
728,Daniel M. Roy,312,6
729,Jian Zhang,312,6
730,Joelle Pineau,312,11
731,Steve Hanneke,311,3
732,Miguel Lazaro-Gredilla,311,7
733,Diederik P. Kingma,311,5
734,Nikos Karampatziakis,311,5
735,Nguyen Xuan Vinh,311,1
736,Jianbo Shi,311,3
737,Marc Deisenroth,310,3
738,Jianhui Chen,310,5
739,Robert Kleinberg,309,2
740,Xiaofeng He,308,1
741,Richard Sutton,308,4
742,Fang Han,308,9
743,Chinmay Hegde,307,4
744,Zhixiang Xu,305,3
745,Guy Lebanon,305,6
746,Gideon S. Mann,305,2
747,Eric Grimson,304,2
748,Xinhua Zhang,304,14
749,Varun Ganapathi,304,2
750,Ji Liu,304,11
751,Deepayan Chakrabarti,303,6
752,Kenichi Kurihara,303,3
753,Qiang Wu,303,2
754,Aaron Defazio,302,5
755,Stephen Tyree,301,4
756,Joachim M. Buhmann,301,9
757,Praveen Srinivasan,300,2
758,Manfred K. Warmuth,300,10
759,Yoav Goldberg,300,1
760,Omer Levy,300,1
761,Dacheng Tao,299,6
762,Dean Pomerleau,299,1
763,Lixin Duan,298,2
764,David A. McAllester,298,3
765,Matyas A. Sustik,298,3
766,David J. Fleet,298,4
767,Shai Shalev-shwartz,298,6
768,Dong Xu,298,2
769,Sanjeev Arora,297,4
770,Petros Drineas,297,6
771,J. Zico Kolter,297,4
772,Yann N. Dauphin,296,2
773,Victor Bittorf,295,3
774,Junfeng He,294,2
775,Timothee Cour,293,1
776,Daniel Lowd,292,4
777,J. Z. Kolter,291,3
778,Daniel Golovin,291,5
779,Mario Marchand,290,12
780,Akshay Krishnamurthy,290,11
781,Alyson K. Fletcher,289,6
782,Sundeep Rangan,289,6
783,Noah Goodman,289,8
784,Michael Kearns,289,10
785,Yuhong Guo,288,8
786,Shimon Ullman,288,4
787,Jonathan J. Tompson,288,1
788,Yukun Zhu,288,2
789,Arjun Jain,288,1
790,Jiang Su,287,4
791,Alexander Toshev,287,1
792,David Grangier,287,3
793,Raghu Meka,287,3
794,Maximilian Nickel,286,2
795,Taiji Suzuki,286,11
796,Carl Edward Rasmussen,285,7
797,Caglar Gulcehre,285,3
798,Joseph Keshet,284,5
799,Anton Schwaighofer,284,1
800,Purushottam Kar,284,10
801,Erik Sudderth,283,7
802,Stephen I. Ryu,283,3
803,Gopal Santhanam,283,3
804,Mingyuan Zhou,283,8
805,Sandor Szedmak,282,2
806,Sida Wang,281,5
807,Slav Petrov,280,3
808,Percy S. Liang,280,12
809,Pang W. Koh,280,2
810,Karl Moritz Hermann,280,2
811,Edward Grefenstette,280,2
812,Anand Madhavan,280,1
813,Mustafa Suleyman,280,2
814,Alan Willsky,279,5
815,Vicente Ordonez,279,1
816,Girish Kulkarni,279,1
817,Tamara L. Berg,279,1
818,Jason D. Lee,278,9
819,Michael Fink,278,2
820,Tim Salimans,277,5
821,Guillaume Alain,277,2
822,Praneeth Netrapalli,276,6
823,Max Jaderberg,276,2
824,Pedro Pinheiro,275,2
825,Ciamac C. Moallemi,274,3
826,Fernando Torre,273,3
827,Alberto Garcia-Duran,272,1
828,Oksana Yakhnenko,272,1
829,Jian Peng,271,3
830,Matthias Bethge,270,12
831,Lilyana Mihalkova,270,2
832,Bin Cao,270,2
833,Kurt Miller,269,1
834,Chunhua Shen,269,7
835,Jeff Michels,268,1
836,Glenn Fung,268,3
837,Ainur Yessenalina,268,1
838,Mark Steyvers,267,5
839,Ming Yuan,266,2
840,Christopher Painter-Wakefield,266,3
841,Alexandros Karatzoglou,266,1
842,Joaquin Quinonero Candela,266,1
843,Thomas Borchert,266,1
844,Wolfgang Maass,265,12
845,Michael Mahoney,265,7
846,Joaquin Quinonero-Candela,264,3
847,Christopher J.C. Burges,264,1
848,John Schulman,264,5
849,David Pal,264,4
850,Tie-yan Liu,264,6
851,David Dunson,263,13
852,Douglas Eck,262,4
853,Naftali Tishby,262,9
854,Ozgur Simsek,262,4
855,M. P. Kumar,262,3
856,Jose Miguel Hernandez-Lobato,262,12
857,George Dahl,262,2
858,Kihyuk Sohn,261,7
859,Benjamin V. Roy,260,4
860,Xiangyang Xue,260,4
861,Edward Meeds,260,2
862,Shivani Agarwal,260,12
863,Lasse Espeholt,260,2
864,Patrik O. Hoyer,259,2
865,Tianyi Zhou,259,2
866,Brian McFee,259,2
867,Bertrand Thirion,259,7
868,Matthias O. Franz,259,2
869,Su-in Lee,259,2
870,Po-ling Loh,258,2
871,Gavin Taylor,258,5
872,Murat Dundar,257,5
873,Wolf Kienzle,257,2
874,Sivaraman Balakrishnan,257,9
875,Bruno Scherrer,256,14
876,Linli Xu,256,4
877,Gal Elidan,255,6
878,Bin Li,255,5
879,Cho-jui Hsieh,255,2
880,Sainbayar Sukhbaatar,255,2
881,Mladen Kolar,254,8
882,Angela J. Yu,254,8
883,Paramveer Dhillon,254,4
884,Burr Settles,254,1
885,Xavier Carreras,254,5
886,David R. Karger,254,1
887,Nicolas Vayatis,253,13
888,David M. Bradley,253,2
889,J. A. Bagnell,253,2
890,Andrej Karpathy,253,2
891,Carl Rasmussen,252,1
892,Harry Zhang,252,3
893,Carmelo Piccione,252,1
