,author,cite_num,paper_num
80,Jiayuan Huang,1088,2
81,Martin Zinkevich,1087,7
82,Prateek Jain,1081,24
83,Sham M. Kakade,1081,17
84,Samy Bengio,1075,11
85,Mehryar Mohri,1061,20
86,Ali Rahimi,1061,5
87,Yoram Singer,1058,9
88,Ross Girshick,1052,2
89,Karen Simonyan,1043,4
90,Chong Wang,1026,7
91,Daniel J. Hsu,1022,17
92,Liefeng Bo,1012,6
93,Jian Sun,1008,3
94,Ian Goodfellow,1006,5
95,Kaiming He,1006,2
96,Andreas Argyriou,999,4
97,Daphne Koller,998,11
98,Sujay Sanghavi,995,11
99,John C. Duchi,981,11
100,Kenji Fukumizu,977,14
101,Shaoqing Ren,964,1
102,Fei Sha,959,11
103,Alex Graves,959,8
104,Jordan L. Boyd-graber,957,2
105,Dieter Fox,953,3
106,Neil Bruce,943,2
107,John Tsotsos,942,1
108,Li Fei-fei,923,5
109,Olivier Chapelle,913,9
110,John Wright,902,4
111,Klaus-Robert Muller,901,19
112,Sewoong Oh,898,12
113,Sean Gerrish,891,3
114,Remi Munos,884,29
115,Jasper Snoek,883,4
116,Sahand Negahban,866,5
117,Yi Ma,859,3
118,Masashi Sugiyama,859,19
119,Christopher Re,854,11
120,Ke Yang,845,1
121,Greg Corrado,845,1
122,Rajat Monga,845,1
123,Matthieu Devin,845,1
124,Mark Mao,845,1
125,Andrew Senior,845,1
126,Paul Tucker,845,1
127,Jean Ponce,843,2
128,Ambuj Tewari,843,19
129,Pieter Abbeel,840,15
130,Erik B. Sudderth,838,13
131,Nicolas L. Roux,832,7
132,Aude Oliva,831,4
133,Yigang Peng,828,1
134,Shankar Rao,828,1
135,Arvind Ganesh,828,1
136,Theodoros Evgeniou,822,2
137,Huan Xu,820,16
138,Jianxiong Xiao,818,3
139,Y-lan Boureau,807,2
140,Matthew Hoffman,803,2
141,Jason Weston,793,4
142,Olivier Bousquet,791,1
143,Leon Bottou,791,1
144,Li-jia Li,788,2
145,Jure Leskovec,786,4
146,Han Liu,785,28
147,Jonathan Chang,784,2
148,Larry Wasserman,771,14
149,Christopher J. Burges,756,2
150,Jieping Ye,741,20
151,Hao Su,740,2
152,John C. Platt,731,3
153,Bin Yu,729,5
154,Andreas Krause,729,20
155,Alex Kulesza,725,6
156,Deva Ramanan,721,5
157,Sanjoy Dasgupta,715,11
158,Markus Weimer,714,2
159,Yihong Gong,714,5
160,Chaitanya Ekanadham,713,3
161,Vladlen Koltun,712,4
162,Cha Zhang,704,2
163,Paul A. Viola,704,2
164,Alekh Agarwal,704,13
165,Joshua B. Tenenbaum,702,14
166,Motoaki Kawanabe,701,5
167,koray kavukcuoglu,700,8
168,Bolei Zhou,697,1
169,Agata Lapedriza,697,1
170,Graham W. Taylor,696,4
171,Denny Zhou,696,4
172,David Newman,696,3
173,Brian Kulis,691,6
174,Sumit Chopra,689,1
175,Christopher Poultney,689,1
176,Andrew McCallum,686,6
177,Simon Lacoste-Julien,686,8
178,Jan R. Peters,668,11
179,Feiping Nie,667,5
180,Raquel Urtasun,666,15
181,Nitish Srivastava,665,3
182,Edward Snelson,663,1
183,Robert Nowak,658,9
184,Matthias Hein,655,17
185,Chris H. Ding,654,5
186,Stephen Wright,653,3
187,Ping Li,652,18
188,Kristen Grauman,650,10
189,Hal Daume,642,9
190,Padhraic Smyth,641,8
191,Heng Huang,637,5
192,Feng Niu,632,1
193,Aaron Courville,632,2
194,Mehdi Mirza,632,2
195,Xiaogang Wang,629,4
196,Dilip Krishnan,621,3
197,Andrea Frome,616,2
198,Hisashi Kashima,614,4
199,Julian J. Mcauley,606,3
200,Alan S. Willsky,605,10
201,David Silver,604,7
202,Michael Bowling,601,11
203,Bill Triggs,599,2
204,Shai Ben-David,598,4
205,Andrea Montanari,592,12
206,S.v.n. Vishwanathan,587,9
207,Karthik Sridharan,582,12
208,Laurent Itti,581,4
209,Lawrence Carin,580,30
210,Xiao Cai,579,1
211,Pierre F. Baldi,574,5
212,Sherjil Ozair,574,1
213,David Warde-Farley,574,1
214,Bing Xu,574,1
215,Jean Pouget-Abadie,574,1
216,Devavrat Shah,574,14
217,Shipeng Yu,573,5
218,Tommi S. Jaakkola,570,8
219,Peter Welinder,567,2
220,Constantine Caramanis,566,8
221,Adam Coates,566,3
222,Philipp Krahenbuhl,562,1
223,Edwin V. Bonilla,562,6
224,Maneesh Sahani,560,15
225,Robert E. Schapire,559,11
226,Javier R. Movellan,557,3
227,Nicolas Usunier,557,8
228,Paul L. Ruvolo,557,3
229,Sebastian Thrun,556,3
230,Jacob Bergsma,552,1
231,Dale Schuurmans,552,17
232,Ting-fan Wu,552,1
233,Jacob Whitehill,552,1
234,Zhi-hua Zhou,551,3
235,Zaid Harchaoui,540,9
236,Yan Largman,539,1
237,Christopher Williams,539,4
238,Peter Pham,539,1
239,Xiaofeng Ren,539,3
240,Serge J. Belongie,536,3
241,Jeff Clune,534,2
242,Jason Yosinski,534,2
243,Selin Aviyente,531,1
244,Ke Huang,531,1
245,Henry Kautz,528,3
246,Mark Johnson,527,4
247,Suvrit Sra,526,12
248,Svetlana Lazebnik,522,4
249,Koray Kavukcuoglu,521,3
250,Nathan Srebro,521,8
251,Shinichi Nakajima,519,8
252,Lin Liao,518,1
253,Hod Lipson,515,1
254,Kamalika Chaudhuri,512,13
255,Malte Rasch,508,1
256,Mohammad Ghavamzadeh,506,12
257,Claire Monteleoni,496,3
258,Maxim Raginsky,494,4
259,Tom Minka,494,5
260,Peter L. Bartlett,494,13
261,Bharath K. Sriperumbudur,492,8
262,Michael J. Black,491,11
263,Ben Taskar,487,10
264,Lorenzo Torresani,487,4
265,Mark Schmidt,483,4
266,Afshin Rostamizadeh,479,6
267,Aaron Hertzmann,479,3
268,Ryota Tomioka,478,9
269,Corinna Cortes,477,8
270,Lin Xiao,476,3
271,Richard S. Sutton,471,10
272,Paul V. Buenau,470,1
273,Kian M. Chai,470,3
274,arthur szlam,469,4
275,Ohad Shamir,468,14
276,Robert Ragno,467,1
277,Benjamin Schrauwen,464,7
278,Dit-Yan Yeung,464,9
279,Vikas C. Raykar,463,4
280,Nicolas Heess,462,8
281,Saren Sonnenburg,459,5
282,Nuno Vasconcelos,457,12
283,Benjamin Blankertz,457,5
284,Boaz Nadler,454,3
285,Jiquan Ngiam,453,3
286,Andrew W. Moore,453,5
287,Steve Branson,452,1
288,Vikas Sindhwani,450,8
289,Frederic Jurie,450,1
290,David M. Mimno,450,2
291,Frank Moosmann,450,1
292,Hongyuan Zha,450,8
293,Joel Veness,444,5
294,Jun Zhu,444,18
295,Piyush Rai,441,6
296,Krishna V. Shenoy,440,7
297,James Diebel,439,1
298,Guillaume R. Obozinski,438,5
299,Dean P. Foster,437,8
300,Ralf Herbrich,437,2
301,Thore Graepel,437,2
302,Neil D. Lawrence,436,8
303,Jeff A. Bilmes,435,15
304,Zhouchen Lin,435,4
305,Alan L. Yuille,434,16
306,Byron M. Yu,434,7
307,Sung H. Chung,432,1
308,Kyunghyun Cho,431,6
309,Richard Zemel,428,7
310,Nati Srebro,427,15
311,John P. Cunningham,420,10
312,Shie Mannor,419,18
313,Xiaoou Tang,418,5
314,Richard Baraniuk,416,5
315,Rie Johnson,416,2
316,Francis Bach,415,12
317,Vittorio Ferrari,415,4
318,Arthur U. Asuncion,413,3
319,Antoine Bordes,409,2
320,Xi Chen,409,12
321,Sanja Fidler,409,5
322,Karol Gregor,407,4
323,David P. Wipf,407,8
324,Andrea Vedaldi,403,7
325,Jeffrey Pennin,401,1
326,Ryan Kiros,401,4
327,Eric H. Huang,401,1
328,Hanna M. Wallach,400,2
329,Gert R. Lanckriet,397,5
330,Cristian Sminchisescu,396,6
331,Ben Recht,394,5
332,Gunnar Ratsch,393,5
333,Abhishek Kumar,392,3
334,Sharon Goldwater,392,2
335,Ronald Ortner,391,4
336,Raghunandan Keshavan,391,1
337,Anat Levin,390,1
338,Zhixun Su,388,1
339,Risheng Liu,388,1
340,Aaron C. Courville,388,5
341,Liqing Zhang,387,2
342,Xiaojin Zhu,386,11
343,Nathaniel D. Daw,386,3
344,Hang Li,383,5
345,Eric Moulines,383,5
346,Mark Dredze,381,3
347,Jon Shlens,381,1
348,Jens Kober,380,2
349,Min-ling Zhang,378,1
350,Joris M. Mooij,378,6
351,Eero P. Simoncelli,378,11
352,Aarti Singh,378,10
353,Christoph Bregler,377,3
354,Morgan Quigley,376,1
355,Choon H. Teo,375,3
356,Alexander Rakhlin,374,8
357,Volodymyr Mnih,371,5
358,Jitendra Malik,370,4
359,Xiaodi Hou,370,1
360,Vinod Nair,368,3
361,Emily Fox,368,8
362,Volkan Cevher,367,11
363,Jennifer Wortman,367,4
364,Raymond J. Mooney,365,1
365,Razvan C. Bunescu,365,1
366,Emily L. Denton,361,2
367,Shakir Mohamed,361,7
368,Peter Auer,361,3
369,Pascal Vincent,360,5
370,Mark Girolami,359,6
371,Wolfgang Einhaeuser,359,1
372,Moran Cerf,359,1
373,James S. Bergstra,359,2
374,John S. Shawe-taylor,359,5
375,Wei Chu,358,5
376,Yi Sun,358,3
377,Abhinav Gupta,357,3
378,Katherine A. Heller,357,8
379,Pierre Sermanet,348,1
380,Michael Mathieu,348,1
381,Mikhail Belkin,347,11
382,Pushmeet Kohli,344,11
383,Martial Hebert,342,3
384,Dan Ciresan,340,1
385,Luca M. Gambardella,340,1
386,Alessandro Giusti,340,1
387,S. S. Keerthi,338,3
388,Yuheng Chen,337,1
389,Jean-philippe Vert,336,5
390,Balazs Kegl,335,2
391,Yi Mao,331,3
392,Phil Blunsom,331,3
393,Alessandro Lazaric,331,10
394,Danqi Chen,327,1
395,Dominik Janzing,327,4
396,Stephen Gould,325,3
397,Yang Wang,325,7
398,Iain Murray,325,8
399,Remi Bardenet,324,2
400,Razvan Pascanu,323,4
401,Rajesh P. Rao,322,8
402,Victor Lempitsky,322,4
403,Stephane Lafon,319,1
404,Michael Johanson,319,2
405,Ioannis Kevrekidis,319,1
406,Ronald R. Coifman,319,1
407,Greg Mori,318,7
408,Jack Wang,317,1
409,Roger P. Levy,317,2
410,William T. Freeman,316,3
411,Peter Dayan,316,14
412,Thorsten Joachims,315,3
413,Nan Du,314,7
414,Marius Kloft,314,4
415,Takeo Kanade,314,2
416,Daniel M. Roy,312,6
417,Diederik P. Kingma,311,5
418,Jianbo Shi,311,3
419,Mingrui Wu,309,2
420,Wojciech Zaremba,305,4
421,Eric Grimson,304,2
422,Varun Ganapathi,304,2
423,Sergey Levine,303,9
424,Qiang Wu,303,2
425,Kenichi Kurihara,303,3
426,Josh Tenenbaum,303,10
427,Omer Levy,300,1
428,Yoav Goldberg,300,1
429,Praveen Srinivasan,300,2
430,Dean Pomerleau,299,1
431,Tom M. Mitchell,299,1
432,Dumitru Erhan,299,2
433,Mark Palatucci,299,1
434,David A. McAllester,298,3
435,Shai Shalev-shwartz,298,6
436,Matyas A. Sustik,298,3
437,Armand Joulin,297,3
438,Yann N. Dauphin,296,2
439,Carlos Guestrin,294,10
440,Timothee Cour,293,1
441,Christian Szegedy,293,2
442,J. Z. Kolter,291,3
443,Nicol N. Schraudolph,291,4
444,Rodolphe Jenatton,290,3
445,Sundeep Rangan,289,6
446,Noah Goodman,289,8
447,Alyson K. Fletcher,289,6
448,Yukun Zhu,288,2
449,Arjun Jain,288,1
450,Balaji Krishnapuram,288,4
451,Jonathan J. Tompson,288,1
452,David Grangier,287,3
453,Yishay Mansour,287,5
454,Alexander Toshev,287,1
455,Daniel Golovin,285,4
456,Chinmay Hegde,285,3
457,Laurent Jacob,284,2
458,Sanjiv Kumar,284,6
459,Gopal Santhanam,283,3
460,Stephen I. Ryu,283,3
461,Volker Tresp,281,3
462,Slav Petrov,280,3
463,Mustafa Suleyman,280,2
464,Karl Moritz Hermann,280,2
465,Pang W. Koh,280,2
466,Percy S. Liang,280,12
467,Zhenghao Chen,280,2
468,Edward Grefenstette,280,2
469,Jun Liu,279,6
470,Tamara L. Berg,279,1
471,Vicente Ordonez,279,1
472,Girish Kulkarni,279,1
473,Zhengdong Lu,277,5
474,Max Jaderberg,276,2
475,Ciamac C. Moallemi,274,3
476,Matthias Seeger,274,6
477,Soumya Ray,274,2
478,Fernando Torre,273,3
479,James T. Kwok,273,5
480,Oksana Yakhnenko,272,1
481,Elad Hazan,272,16
482,Alberto Garcia-Duran,272,1
483,Surya Ganguli,272,7
484,Ali Jalali,270,2
485,Irwin King,270,7
486,Matthias Bethge,270,12
487,Kurt Miller,269,1
488,Jian Peng,269,2
489,Jason D. Lee,268,8
490,Andrew Saxe,268,2
491,Lester W. Mackey,267,2
492,Jimmy Ba,267,4
493,Mark Steyvers,267,5
494,Alexandros Karatzoglou,266,1
495,Purnamrita Sarkar,265,3
496,Yuhong Guo,265,6
497,Danilo Jimenez Rezende,265,5
498,Tiberio S. Caetano,264,9
499,David Pal,264,4
500,Tie-yan Liu,264,6
501,M. P. Kumar,262,3
502,Benjamin V. Roy,260,4
503,Edward Meeds,260,2
504,Ling Huang,260,4
505,Lasse Espeholt,260,2
506,Su-in Lee,259,2
507,Mark Herbster,258,7
508,Praneeth Netrapalli,258,4
509,Jonas Peters,258,3
510,Tony Jebara,258,12
511,Po-ling Loh,258,2
512,Miguel a. Carreira-Perpinan,257,3
513,Andrew G. Barto,257,4
514,Gal Elidan,255,6
515,Piotr Dollar,255,3
516,Sainbayar Sukhbaatar,255,2
517,Cho-jui Hsieh,255,2
518,Burr Settles,254,1
519,Mark Craven,254,1
520,Moritz Hardt,254,5
521,Angela J. Yu,254,8
522,David R. Karger,254,1
523,Lu Ren,253,3
524,Pavel Laskov,253,2
525,J. A. Bagnell,253,2
526,David M. Bradley,253,2
527,Andrej Karpathy,253,2
528,T. F. Jaeger,252,1
529,Carmelo Piccione,252,1
530,Jason Farquhar,251,2
531,David Sontag,251,6
532,Yuchen Zhang,250,4
533,Xinhua Zhang,250,11
534,Ce Liu,249,3
535,Markus Maier,249,2
536,Sebastian Seung,249,2
537,Thomas Jaksch,249,1
538,Jonathan W. Pillow,247,22
539,Hao Wang,247,4
540,Raghu Meka,246,2
541,Aaron Defazio,244,3
542,James Petterson,243,7
543,Benjamin Packer,243,2
544,Alessandro Bergamo,243,2
545,Rina Foygel,243,5
546,Naftali Tishby,242,7
547,Christian Puhrsch,241,1
548,David Eigen,241,1
549,Aaron van den Oord,240,3
550,Marco F. Duarte,240,2
551,Lei Wang,240,4
552,Yoav Freund,239,4
553,Ulf Brefeld,238,1
554,Alexander Zien,238,1
555,Douglas Eck,238,2
556,Srikantan S. Nagarajan,238,5
557,Abhishek Anand,238,1
558,Hema S. Koppula,238,1
559,Patrik O. Hoyer,237,1
560,Zenglin Xu,237,6
561,Stephen Green,236,2
562,Stefanie Jegelka,236,11
563,Ulrike V. Luxburg,234,4
564,David B. Dunson,234,14
565,Frank Wood,234,8
566,Bryan Russell,232,4
567,Sebastien Bubeck,232,5
568,Emanuel Todorov,232,3
569,Umar Syed,232,7
570,Joel Tropp,231,2
571,Shuicheng Yan,231,8
572,Seunghak Lee,231,3
573,Doina Precup,231,12
574,Tianbao Yang,230,8
575,Michalis K. Titsias,230,4
576,Thierry Bertin-mahieux,227,1
577,Paul Lamere,227,1
578,Viren Jain,226,4
579,Jonathan D. Cohen,226,4
580,Wolfgang Maass,226,11
581,Milind Ganjoo,225,1
582,Benjamin Van Roy,225,8
583,Amos J. Storkey,225,10
584,Mingyuan Zhou,224,5
585,Bruno A. Olshausen,224,4
586,Xiaohai Sun,224,1
587,Naiyan Wang,223,1
588,Bharath Bath,223,1
589,Brody Huval,223,1
590,Taiji Suzuki,222,6
591,Hamid R. Maei,221,2
592,Matthias Krauledat,221,3
593,Alexander T. Ihler,221,10
594,Chuong B. Do,220,4
595,Rene Vidal,220,3
596,Shai Avidan,219,2
597,Joelle Pineau,219,9
598,Navdeep Jaitly,218,4
599,Vadim V. Nikulin,217,2
600,Arindam Banerjee,217,12
601,Olivier Delalleau,216,3
602,Baback Moghaddam,216,2
603,Felix A. Wichmann,216,2
604,Hamed Valizadegan,215,2
605,R. B. Rao,214,2
606,Qirong Ho,214,5
607,Frank Mcsherry,214,2
608,Soumith Chintala,214,1
609,Tomas Kocisky,214,1
610,Will Kay,214,1
611,Anima Anandkumar,213,7
612,Simon Osindero,213,3
613,Manuel Gomez Rodriguez,211,4
614,Ameet Talwalkar,210,2
615,Wolf Kienzle,210,1
616,Matthias O. Franz,210,1
617,Alexander G. Gray,209,8
618,Qiang Liu,209,9
619,Yi-kai Liu,209,2
620,Paramveer Dhillon,209,3
621,Qiang Yang,209,2
622,Nando de Freitas,207,5
623,Geremy Heitz,206,3
624,Mario Fritz,206,4
625,Yangqing Jia,206,4
626,XuanLong Nguyen,205,6
627,Ehsan Elhamifar,205,3
628,Sameer Singh,205,2
629,Joseph Keshet,205,4
630,Mladen Kolar,204,4
631,Tim Salimans,204,4
632,Jian Li,204,4
633,Yee Whye Teh,204,9
634,Tianshi Gao,204,2
635,Hsuan-tien Lin,203,2
636,Pierre Garrigues,203,3
637,Lorenzo Rosasco,203,11
638,Chao Ruan,202,1
639,George Dahl,202,1
640,Abdel-rahman Mohamed,202,1
641,Nir Ailon,201,3
642,Michael Kearns,201,6
643,Michael Lyu,201,4
644,Matthew Streeter,200,4
645,Lukasz Kaiser,200,2
646,Bhaskar D. Rao,200,3
647,Amnon Shashua,199,4
648,Sandor Szedmak,199,1
649,Hongying Meng,199,1
650,Karl Schultz,199,1
651,David Hardoon,199,1
652,Fei Fei F. Li,198,1
653,Tejas D. Kulkarni,198,3
654,Barnabas Poczos,198,11
655,Rupesh K. Srivastava,198,2
656,Brendan J. Frey,197,6
657,Vijay Mahadevan,197,3
658,Shalabh Bhatnagar,197,4
659,Linli Xu,197,2
660,Friederike Hohlefeld,197,1
661,Terry Koo,196,1
662,Yiming Yang,195,4
663,Rahul Sukthankar,195,3
664,Cedric Archambeau,195,3
665,Nina Taft,195,2
666,Guy Lebanon,195,3
667,Ofer Dekel,194,8
668,Tobias Scheffer,193,7
669,Charles Blundell,193,5
670,David K. Duvenaud,192,6
671,Bo Zhang,192,7
672,Xubo Song,192,1
673,Gilles Blanchard,192,6
674,Andriy Myronenko,192,1
675,Zhi-Hua Zhou,191,5
676,Michael C. Mozer,191,11
677,Manik Varma,190,2
678,Peter J. Ramadge,189,5
679,Yuan Qi,189,6
680,Laurent Dinh,189,2
681,Tamir Hazan,188,6
682,Wenyuan Dai,188,1
683,Richard L. Lewis,188,4
684,Yuqiang Chen,188,1
685,Gui-rong Xue,188,1
686,Yong Yu,188,1
687,Bertrand Thirion,188,5
688,Ron Zass,187,2
689,Ross B. Girshick,187,1
690,Pedro F. Felzenszwalb,187,1
691,Luca Dall'asta,186,1
692,George Konidaris,186,4
693,Alain Barrat,186,1
694,Radford M. Neal,186,2
695,Alessandro Vespignani,186,1
696,J. I. Alvarez-hamelin,186,1
697,Ryan G. Gomes,185,2
698,Stephen Boyd,185,3
699,Lyle H. Ungar,183,2
700,John W. Paisley,183,1
701,Haojun Chen,183,1
702,Carl E. Rasmussen,183,4
703,Hang Cui,182,1
704,Edward Y. Chang,182,1
705,Zhihuan Qiu,182,1
706,Kaihua Zhu,182,1
707,Hongjie Bai,182,1
708,Charless C. Fowlkes,181,2
709,Emmanuel Candes,181,2
710,Junyuan Xie,181,1
711,Manfred Opper,181,12
712,Mehrdad Mahdavi,181,6
713,Enhong Chen,181,1
714,Ingo Steinwart,180,6
715,Yaser Sheikh,180,2
716,Joao Gama,180,2
717,Kuzman Ganchev,180,2
718,Caglar Gulcehre,179,1
719,Seth Myers,179,1
720,Yao-liang Yu,179,5
721,Kuang-chih Lee,178,2
722,Jiayu Zhou,178,3
723,Magnus Rattray,177,4
724,Nebojsa Jojic,177,8
725,David J. Fleet,177,3
726,Alexander J. Smola,177,7
727,Thomas Brox,176,4
728,Alexey Dosovitskiy,176,4
729,Sivaraman Balakrishnan,175,6
730,Rich Caruana,175,2
731,Yves Grandvalet,175,4
732,Maria-Florina F. Balcan,175,8
733,Sander Dieleman,174,1
734,Richard S. Zemel,174,7
735,Liam Paninski,173,14
736,Keke Chen,173,1
737,Zhaohui Zheng,173,1
738,Gordon Sun,173,1
739,Alexandre Karpenko,173,1
740,Yasin Abbasi-yadkori,173,1
741,Shibin Parameswaran,173,1
742,Daniel D. Lee,173,10
743,Margareta Ackerman,172,3
744,Jason Palmer,172,2
745,Leonid Sigal,172,4
746,Sida Wang,172,4
747,Siddharth Batra,172,1
748,Daniel Chia,172,1
749,Mohammad Norouzi,171,3
750,Christin Schafer,171,2
751,Martin Riedmiller,171,2
752,Tao Qin,171,5
753,Nathan Silberman,171,2
754,Bhiksha Raj,171,4
755,Lars Buesing,171,7
756,Manfred K. Warmuth,170,7
757,Anshumali Shrivastava,170,4
758,Geoffrey J. Gordon,170,6
759,Garth A. Gibson,169,2
760,Jin Kyu Kim,169,2
761,Akshay Krishnamurthy,168,7
762,Song Han,168,1
763,Chunhua Shen,168,5
764,John Tran,168,1
765,Jeff Pool,168,1
766,William Dally,168,1
767,Jakob H. Macke,168,10
768,Stefan Wager,167,3
769,Carl Doersch,167,1
770,Misha Denil,167,3
771,Alexei A. Efros,167,1
772,Jean-baptiste Poline,166,2
773,Marcus Liwicki,166,2
774,Tapani Raiko,166,4
775,Cho-Jui Hsieh,166,9
776,Dennis Strelow,165,1
777,Eunho Yang,165,7
778,Xiaoxiao Guo,165,3
779,Chaitanya Chemudugunta,165,1
780,Satinder Singh,165,3
781,Nagarajan Natarajan,164,5
782,David Blei,164,11
783,Purushottam Kar,163,7
784,Marius Leordeanu,163,1
785,Rishabh K. Iyer,163,5
786,Chris Baker,163,2
787,Vivek Goyal,162,2
788,Shenghuo Zhu,162,5
789,Fei Li,161,2
790,Gilles Stoltz,160,2
791,Larry S. Davis,160,3
792,Dashan Gao,160,1
793,Guido Sanguinetti,160,5
794,Tamara Broderick,159,5
795,Tomaso Poggio,159,6
796,Shai Shalev-Shwartz,159,5
797,Dan Klein,159,7
798,Martin Jaggi,159,2
799,Ryan Mcdonald,159,1
800,Dimitris Samaras,159,6
801,Andras Antos,159,2
802,Junbo Zhao,159,2
803,Dan Walker,159,1
804,Petros Drineas,159,5
805,Yingyu Liang,159,6
806,Gideon S. Mann,159,1
807,Xiang Zhang,159,1
808,Baotian Hu,158,1
809,Qingcai Chen,158,1
810,Victor Gabillon,157,4
811,Clayton Scott,157,5
812,Marco Cuturi,157,6
813,Klaus Greff,157,2
814,Robert Gens,157,2
815,Nino Shervashidze,156,1
816,Yuval Tassa,155,3
817,Alan A. Stocker,155,8
818,Katrina Ligett,155,1
819,Romer Rosales,155,2
820,Christos Boutsidis,155,4
821,Harald Steck,155,2
822,David Hsu,154,4
823,Weilong Yang,154,2
824,Wei Xu,154,2
825,Stanislas Lauly,153,2
826,Minmin Chen,153,1
827,Gael Varoquaux,152,5
828,Pedro Domingos,152,3
829,Jianhui Chen,152,2
830,Long Zhu,151,4
831,Zhao Xu,151,1
832,Laurent E. Ghaoui,151,4
833,Nicola L. Talbot,151,1
834,Nando D. Freitas,151,5
835,Gavin C. Cawley,151,1
836,Sheng-jun Huang,151,1
837,Victor Bittorf,149,2
838,Kate Saenko,149,4
839,Jakob J. Verbeek,149,1
840,Kathryn Roeder,149,2
841,Novi Quadrianto,149,6
842,Sridhar Mahadevan,149,4
843,Dino Sejdinovic,149,5
844,Joan Bruna,147,1
845,Alexandre Gramfort,147,3
846,Nawanol Ampornpunt,146,1
847,Michael W. Mahoney,146,7
848,Jian Zhang,146,3
849,Wray Buntine,146,2
850,Keith Grochow,146,1
851,Dongryeol Lee,146,5
852,Aaron Shon,146,1
853,Aurelie C. Lozano,146,7
854,Zhaonan Sun,146,1
855,Wulfram Gerstner,146,10
856,Greg Ganger,145,1
857,Ren Xiaofeng,145,1
858,Sethu Vijayakumar,145,6
859,Phillip B. Gibbons,145,1
860,Henggang Cui,145,1
861,James Cipar,145,1
862,Francois Laviolette,144,6
863,Andreas Christmann,144,4
864,Mathieu Salzmann,144,3
865,Ichiro Takeuchi,144,6
866,Feng Zhou,144,1
867,Eric Cosatto,143,2
868,John V. Arthur,143,2
869,Ed Vul,143,4
870,Balaji V. Srinivasan,143,1
871,Ronan Collobert,143,2
872,Vlad I. Morariu,143,1
873,Ramani Duraiswami,143,1
874,Sumit Basu,143,1
875,Debajyoti Ray,142,2
876,Alyosha Efros,142,2
877,Miguel Lazaro-Gredilla,142,5
878,Brahim Chaib-draa,141,4
879,Nikos Vlassis,141,2
880,Charles Kemp,141,11
881,Kenneth Kreutz-Delgado,141,1
882,Vinayak Rao,141,6
883,Wu-jun Li,140,2
884,Jiashi Feng,140,4
885,Tian Lan,140,2
886,Yuanhao Chen,140,3
887,Jean-yves Audibert,139,2
888,Xianjie Chen,139,1
889,Philip Torr,138,6
890,Guillaume Alain,138,1
891,Michael L. Littman,138,3
892,Li Yao,138,1
893,Satyen Kale,137,8
894,Sebastian Nowozin,137,4
895,Amir Navot,137,2
896,Guido F. Montufar,137,2
897,Carsten Rother,137,5
898,Claudio Gentile,137,8
